TIME,OWNED,SEX,EDLVL,AGE,Playfulness,ValueUtility,FeelDeviceDependence,ATUseSophistication,FeelTimeManagingDevice,UseSelfEfficacy,NonPlayfulness,ValueHedonistic,VU,VH
150,24,2,6,43,0.464983718,-1.16959813,-0.864773621,0.478985113,0.1231677715,0.5250977774,1.1457104087,0.5403376991,0,1
60,42,2,6,38,-0.163772616,-0.325409292,-0.44414493,1.4346195719,0.9082769177,2.3630125662,-0.471094463,1.4758402556,0,1
120,24,1,4,34,-1.623509536,-0.162583599,0.1770658197,-0.672844414,-1.485146312,0.3451715878,1.8429514752,-1.091132079,,0
40,30,1,6,38,0.9845468022,-1.36933767,0.2885083299,1.1001225864,0.3555152318,0.6664001838,0.5890313394,-0.319066174,0,0
20,36,1,5,40,0.0692647855,-1.150670376,1.3567345541,0.1369963054,0.5659438633,2.164067609,-0.205490914,-0.359701952,0,0
120,48,1,4,24,-0.904207413,-0.599347612,-0.244506125,-0.846987991,0.9349414411,1.7975718087,0.4313955568,-0.252562896,0,0
300,96,2,5,23,-0.460240794,-0.944476702,-0.481506723,0.224466411,-0.728244673,-0.665500807,1.6296113645,-0.649669847,0,0
180,74,1,2,22,0.5923394261,0.5404395786,-1.003925945,-0.105740021,-0.082479717,-0.218096346,-0.792117616,-0.245929743,1,
120,84,1,4,23,-0.084879935,-0.78191992,-0.245883474,-1.281292884,0.9192540037,0.7669945893,-1.252282151,-0.485533964,0,0
60,60,1,5,24,-1.821545973,2.0370835307,-0.716136088,0.5896560944,0.3366389648,-0.742537387,0.5941133975,0.4719572542,1,1
60,48,2,5,22,-0.976076356,-1.090818595,-0.702021944,-1.15657712,-0.100560678,-0.790398868,-1.401605686,-0.815302031,0,0
30,30,1,5,23,0.7387058393,0.6192227642,-0.145660921,1.2614197237,0.2110087394,-0.184781946,0.027859576,-0.413254731,1,0
105,84,2,6,21,-0.799312018,0.8657844361,-0.239220727,0.6335424542,1.4249901411,-0.60270541,1.2021414561,-1.843365363,1,0
150,20,2,5,30,-0.906547896,0.9327107909,0.7034627646,1.1442407606,0.2805569457,-0.402398151,-0.982841995,1.3785484217,1,1
35,35,2,0,25,-0.24846671,1.0201178467,0.142419286,-1.089406438,-1.411193797,0.212776529,0.158757261,-1.17622095,1,0
75,23,1,4,37,-1.143258815,1.1367066747,0.5922714478,-0.323754022,-1.112652746,1.5517090657,-0.254219506,-0.255954122,1,0
15,33,2,6,32,-1.372398368,0.0843282465,1.1366263179,-1.655871637,0.1871130785,0.0161982063,0.6049755993,-0.440958037,,0
60,45,1,4,47,-0.373128347,1.3694400947,-0.103721904,-0.216325342,-0.646802231,1.0665676135,-0.026248193,0.1945070476,1,
130,37,1,4,45,-1.234068018,-0.58680774,0.4840242828,-1.574937655,-0.709131062,-0.222522661,0.9289508069,-0.195081966,0,
105,15,2,5,33,-0.164362325,-0.197763109,0.8442819806,0.470297337,-0.756378708,-0.667925723,-1.699271759,0.1356904574,,
30,78,2,6,36,-0.140864033,-0.081667104,2.0514045675,0.5448442254,-2.62955457,-0.921080491,-0.76651148,-0.266583862,,0
300,120,2,6,30,-0.303840698,-0.330879789,-0.169942337,1.6679476294,0.4690709466,-1.084297507,-1.160502304,0.0558846189,0,
60,84,2,6,53,1.2388822712,-0.634110763,1.1206349146,0.605723521,0.4573780052,-0.217547788,-0.157384243,0.559899215,0,1
240,60,2,6,33,-0.48561144,-0.583310815,-0.326210075,-0.812297896,0.7303500122,1.2634256948,1.1906908764,0.2382148562,0,
120,96,2,6,32,-0.295916633,-1.232910196,-0.072350356,-0.020610237,0.512446842,0.5669983483,-0.666740617,2.0520300476,0,1
120,84,2,6,29,0.5156366355,0.4017007487,1.3410277385,-0.690074365,-0.034757376,0.2661498621,-0.820412646,0.2861250484,1,1
60,84,2,6,31,-0.276179674,-0.456652622,-0.371814683,0.2563884064,0.2886210488,-0.085106848,0.1313489539,-0.223072272,0,
120,48,2,5,25,0.1777028364,-0.076939209,0.0162786676,0.5575606468,1.272809686,-1.057339709,-0.327975631,-0.530928216,,0
240,60,1,5,25,-1.686588933,-0.447044548,-0.507401164,0.3500215541,-0.958494326,0.8017252879,1.91788689,-0.8701685,0,0
240,72,2,5,23,-0.255453736,-0.539528822,-0.689208011,-0.944590601,-1.848149491,0.5114497679,-1.509897599,-0.394348576,0,0
300,72,2,5,24,-0.304684037,-0.951130956,-0.706748944,-1.800412991,-0.681477806,-0.055913726,-0.43962467,-0.917768218,0,0
180,72,2,6,40,-0.484759051,-0.476338352,-0.118829082,0.3155543002,-0.723120139,-0.608450974,0.3839594796,0.3171934357,0,1
360,120,1,5,27,-0.22599286,-0.501347168,0.1780517095,-0.242072862,-0.508395002,0.4300873234,-0.072051175,-0.475331803,0,0
180,84,1,6,25,0.5243929074,-0.125774196,-1.164040443,-0.56751293,0.73884314,-0.36599474,1.1656810319,0.7683900819,,1
180,96,1,5,26,-0.150348276,1.8547699038,-1.737103461,1.0183823119,0.8740351333,0.7245228965,-0.494290867,-0.392401532,1,0
420,96,2,5,48,-0.009181386,-0.342309144,0.5656903443,-0.914000843,-0.53114831,-0.354890359,-0.653281669,2.3681841978,0,1
180,108,1,6,26,0.1979404522,0.5225715845,-1.295275002,-0.892292573,-0.622979109,-0.002746211,-0.712431433,-0.78164772,1,0
120,108,1,5,24,0.6458189741,-0.094232741,-0.845251006,-0.475645285,0.7813147036,-0.950136849,-0.406633243,-0.402986874,,0
60,84,2,6,28,-0.188913893,1.6034084682,0.5683043838,-0.13073642,0.9553111737,0.3715271478,-0.57473381,-0.273118599,1,0
120,72,1,5,44,1.5667098035,2.8996669079,-1.828242825,0.8567463005,1.4759986948,-1.137272432,2.1241903456,-0.179223281,1,
120,72,1,6,28,2.5562792947,0.2558226321,1.2344679469,-1.983585014,-1.853562558,-1.138054046,1.8815794284,1.6104654104,1,1
180,60,1,6,26,0.8803542326,-0.189177456,-1.216075303,0.7777731198,-0.376700044,1.4731463695,-0.084148413,-0.517524488,,0
60,120,1,5,49,0.5421601119,1.0208136985,0.4595837052,-1.201373447,0.6481193475,-0.953990155,-0.423697325,0.5638390951,1,1
60,60,2,5,25,0.3969467233,-0.102706082,0.8319762689,0.3356892842,0.4545407518,0.1449146203,-0.407770758,-1.172400034,,0
60,60,2,5,51,1.540202379,0.7243819339,0.2425397845,-0.018498777,1.1614962517,2.6986006766,-0.232970644,1.8947099682,1,1
120,60,2,5,37,0.0319555662,0.4771065165,-0.97174058,1.252003304,1.3301568801,-1.090366039,-0.407640914,-0.398552934,1,0
60,108,2,6,30,-0.934492602,-0.12683227,0.2932358603,-0.136735424,0.2873738175,-0.640425561,-0.344839643,0.5101130974,,1
120,108,2,5,43,-1.326981765,0.7974778271,0.3402190954,-0.228138665,-0.316098715,-0.387883747,-0.761802878,-0.438852825,1,0
