"Country" "Country_Code" "Indicator" "Indicator_Code" "Time" "Value" "Classification"
"175" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1987" 7.061425253 1
"176" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1987" 48.31414507 1
"177" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1987" -0.286945199 1
"178" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1987" 1.54351e+11 1
"179" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1987" 81.50513584 1
"180" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1987" 3203787301 1
"181" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1987" NA 1
"182" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1987" NA 1
"183" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1987" NA 1
"184" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1987" NA 1
"185" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1988" 53.84 1
"186" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1988" 22.51 1
"187" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1988" 26.26 1
"188" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1988" 34.38 1
"189" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1988" 5.776851984 1
"190" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1988" 14283.38445 1
"191" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1988" 4.060206324 1
"192" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1988" 46.14569781 1
"193" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1988" NA 1
"194" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1988" 2.36136e+11 1
"195" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1988" 6.410573621 1
"196" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1988" 14.08333333 1
"197" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1988" 7.231772377 1
"198" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1988" 7.210523777 1
"199" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1988" 51.80811407 1
"200" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1988" 0.283299366 1
"201" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1988" 1.37644e+11 1
"202" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1988" 58.29016966 1
"203" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1988" 1107289084 1
"204" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1988" NA 1
"205" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1988" NA 1
"206" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1988" NA 1
"207" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1988" NA 1
"208" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1989" 58.46 1
"209" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1989" 15.16 1
"210" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1989" 29.1 1
"211" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1989" 17.65 1
"212" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1989" 3.880819843 1
"213" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1989" 17838.36312 1
"214" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1989" 2.137363796 1
"215" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1989" 50.4186291 1
"216" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1989" NA 1
"217" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1989" 2.99941e+11 1
