"Country" "Democracy" "ID" "Decade" "Risk" "Time"
"Tunisia" 0 90 "Y4" 0.0020893 4
"Tunisia" 0 90 "Y5" 0.0047277 5
"Libya" 0 91 "Y1" 0.0054392 1
"Libya" 0 91 "Y2" 0.0041517 2
"Libya" 0 91 "Y3" 0.0039117 3
"Libya" 0 91 "Y4" 0.0024537 4
"Libya" 0 91 "Y5" 0.0038433 5
"Sudan" 0 92 "Y1" 0.0190972 1
"Sudan" 0 92 "Y2" 0.0354789 2
"Sudan" 0 92 "Y3" 0.0262338 3
"Sudan" 0 92 "Y4" 0.0067586 4
"Sudan" 0 92 "Y5" 0.0043255 5
"South Sudan" 0 93 "Y5" 0.0150644 5
"Iran" 0 94 "Y1" 0.0037437 1
"Iran" 0 94 "Y2" 0.0061483 2
"Iran" 0 94 "Y3" 0.0038404 3
"Iran" 0 94 "Y4" 0.0033879 4
"Iran" 0 94 "Y5" 0.0017524 5
"Egypt" 0 95 "Y1" 0.005833 1
"Egypt" 0 95 "Y2" 0.0157197 2
"Egypt" 0 95 "Y3" 0.00402 3
"Egypt" 0 95 "Y4" 0.0021633 4
"Egypt" 0 95 "Y5" 0.0253689 5
"Syria" 0 96 "Y1" 0.0079237 1
"Syria" 0 96 "Y2" 0.0049059 2
"Syria" 0 96 "Y3" 0.0023209 3
"Syria" 0 96 "Y4" 0.0021604 4
"Syria" 0 96 "Y5" 0.0039908 5
"Jordan" 0 97 "Y1" 0.0025356 1
"Jordan" 0 97 "Y2" 0.0017243 2
"Jordan" 0 97 "Y3" 0.0020588 3
"Jordan" 0 97 "Y4" 0.0015046 4
"Jordan" 0 97 "Y5" 0.0013874 5
"Israel" 1 98 "Y1" 0.0046454 1
"Israel" 1 98 "Y2" 0.0018187 2
"Israel" 1 98 "Y3" 0.0014552 3
"Israel" 1 98 "Y4" 0.0009898 4
"Israel" 1 98 "Y5" 0.0011898 5
"Saudi Arabia" 0 99 "Y1" 0.0042911 1
"Saudi Arabia" 0 99 "Y2" 0.0036504 2
"Saudi Arabia" 0 99 "Y3" 0.0022711 3
"Saudi Arabia" 0 99 "Y4" 0.0017153 4
"Saudi Arabia" 0 99 "Y5" 0.0016474 5
"Yemen" 0 100 "Y1" 0.0137381 1
"Yemen" 0 100 "Y2" 0.0095307 2
"Yemen" 0 100 "Y3" 0.0073487 3
"Yemen" 0 100 "Y4" 0.0033923 4
"Yemen" 0 100 "Y5" 0.010085 5
"Yemen South" 0 101 "Y1" 0.0152399 1
"Yemen South" 0 101 "Y2" 0.0054681 2
"Yemen South" 0 101 "Y3" 0.0024505 3
"Kuwait" 0 102 "Y1" 0.0031651 1
"Kuwait" 0 102 "Y2" 0.001742 2
"Kuwait" 0 102 "Y3" 0.0018863 3
"Kuwait" 0 102 "Y4" 0.0012589 4
"Kuwait" 0 102 "Y5" 0.0018654 5
"Bahrain" 0 103 "Y1" 0.0018602 1
"Bahrain" 0 103 "Y2" 0.0012842 2
"Bahrain" 0 103 "Y3" 0.0018106 3
"Bahrain" 0 103 "Y4" 0.0009601 4
"Bahrain" 0 103 "Y5" 0.0011285 5
"Qatar" 0 104 "Y1" 0.0025652 1
"Qatar" 0 104 "Y2" 0.0014818 2
"Qatar" 0 104 "Y3" 0.0045113 3
"Qatar" 0 104 "Y4" 0.0014825 4
"Qatar" 0 104 "Y5" 0.0013862 5
"United Arab Emirates" 0 105 "Y1" 0.0026665 1
"United Arab Emirates" 0 105 "Y2" 0.0017929 2
"United Arab Emirates" 0 105 "Y3" 0.001948 3
"United Arab Emirates" 0 105 "Y4" 0.0019305 4
"United Arab Emirates" 0 105 "Y5" 0.0011479 5
"Oman" 0 106 "Y1" 0.0012769 1
"Oman" 0 106 "Y2" 0.0009022 2
"Oman" 0 106 "Y3" 0.0013301 3
"Oman" 0 106 "Y4" 0.0007827 4
"Oman" 0 106 "Y5" 0.0012125 5
"Afghanistan" 0 107 "Y1" 0.0320562 1
"Afghanistan" 0 107 "Y2" 0.0175549 2
"Afghanistan" 0 107 "Y3" 0.0338046 3
"Afghanistan" 0 107 "Y4" 0.0092657 4
"Afghanistan" 0 107 "Y5" 0.0030769 5
"Turkmenistan" 0 108 "Y3" 0.0105203 3
"Turkmenistan" 0 108 "Y4" 0.0039103 4
"Turkmenistan" 0 108 "Y5" 0.0018056 5
"Tajikistan" 0 109 "Y3" 0.0094525 3
"Tajikistan" 0 109 "Y4" 0.0029611 4
"Tajikistan" 0 109 "Y5" 0.0033923 5
"Kyrgyzstan" 0 110 "Y3" 0.0127688 3
"Kyrgyzstan" 0 110 "Y4" 0.0031988 4
"Kyrgyzstan" 0 110 "Y5" 0.0018247 5
"Uzbekistan" 0 111 "Y3" 0.0094818 3
"Uzbekistan" 0 111 "Y4" 0.0057643 4
"Uzbekistan" 0 111 "Y5" 0.0016019 5
"Kazakhstan" 0 112 "Y3" 0.0087759 3
"Kazakhstan" 0 112 "Y4" 0.0017224 4
"Kazakhstan" 0 112 "Y5" 0.0021733 5
"China" 0 113 "Y1" 0.0053627 1
"China" 0 113 "Y2" 0.0039617 2
"China" 0 113 "Y3" 0.0097821 3
"China" 0 113 "Y4" 0.0009753 4
"China" 0 113 "Y5" 0.0005824 5
"Korea North" 0 114 "Y1" 0.0067029 1
"Korea North" 0 114 "Y2" 0.0041969 2
"Korea North" 0 114 "Y3" 0.0070149 3
"Korea North" 0 114 "Y4" 0.0044021 4
"Korea North" 0 114 "Y5" 0.0052418 5
"Japan" 1 115 "Y1" 0.0010798 1
"Japan" 1 115 "Y2" 0.0009716 2
"Japan" 1 115 "Y3" 0.0026417 3
"Japan" 1 115 "Y4" 0.0008771 4
"Japan" 1 115 "Y5" 0.0006588 5
"India" 1 116 "Y1" 0.004369 1
"India" 1 116 "Y2" 0.0141265 2
"India" 1 116 "Y3" 0.021441 3
"India" 1 116 "Y4" 0.0028709 4
"India" 1 116 "Y5" 0.0014207 5
"Myanmar" 0 117 "Y1" 0.0137132 1
"Myanmar" 0 117 "Y2" 0.0145409 2
"Myanmar" 0 117 "Y3" 0.0324745 3
"Myanmar" 0 117 "Y4" 0.0049492 4
"Myanmar" 0 117 "Y5" 0.0030841 5
"Cambodia" 0 118 "Y1" 0.0143337 1
"Cambodia" 0 118 "Y2" 0.0109002 2
"Cambodia" 0 118 "Y3" 0.0120935 3
"Cambodia" 0 118 "Y4" 0.0054688 4
"Cambodia" 0 118 "Y5" 0.0011976 5
"Laos" 0 119 "Y1" 0.0065924 1
"Laos" 0 119 "Y2" 0.0088447 2
"Laos" 0 119 "Y3" 0.0040826 3
"Laos" 0 119 "Y4" 0.0017058 4
"Laos" 0 119 "Y5" 0.0020167 5
"Vietnam" 0 120 "Y1" 0.0021588 1
"Vietnam" 0 120 "Y2" 0.0049776 2
"Vietnam" 0 120 "Y3" 0.0046127 3
"Vietnam" 0 120 "Y4" 0.0013051 4
"Vietnam" 0 120 "Y5" 0.0006689 5
"Vietnam South" 0 121 "Y1" 0.0047307 1
"Malaysia" 0 122 "Y1" 0.0014455 1
